city_name,census_block,crime_counts
Austin,484530009023029,5
Austin,484530009023030,2
Austin,484530009023031,15
Austin,484530009024001,12
Austin,484530009024003,18
Austin,484530009024004,6
Austin,484530009024005,6
Austin,484530009024006,4
Austin,484530009024007,11
Austin,484530009024008,13
Austin,484530009024011,10
Austin,484530009024012,3
Austin,484530009024013,6
Austin,484530009024014,15
Austin,484530009024015,11
Austin,484530009024016,12
Austin,484530009024018,7
Austin,484530009024019,14
Austin,484530009024020,7
Austin,484530009024021,5
Austin,484530009024022,19
Austin,484530009024027,5
Austin,484530009024028,5
Austin,484530009024029,5
Austin,484530009024030,4
Austin,484530009024031,9
Austin,484530009024034,7
Austin,484530009024035,3
Austin,484530009024036,4
Austin,484530009024037,1
Austin,484530009024038,8
Austin,484530009024039,1
Austin,484530009024040,1
Austin,484530009024041,5
Austin,484530009024042,2
Austin,484530009024043,3
Austin,484530009024044,3
Austin,484530009024045,8
Austin,484530009024046,2
Austin,484530009024047,1
Austin,484530009024048,11
Austin,484530009024050,5
Austin,484530009024052,4
Austin,484530009024053,20
Austin,484530009024055,13
Austin,484530009024056,1
Austin,484530009024057,3
Austin,484530009024058,2
Austin,484530009024059,8
Austin,484530009024060,13
Austin,484530009024061,1
Austin,484530009024062,2
Austin,484530010001000,8
Austin,484530010001001,12
Austin,484530010001002,8
Austin,484530010001003,1
Austin,484530010001004,1
Austin,484530010001005,1
Austin,484530010001006,3
Austin,484530010001007,5
Austin,484530010001008,17
Austin,484530010001009,6
Austin,484530010001010,1
Austin,484530010001011,2
Austin,484530010001013,12
Austin,484530010001014,2
Austin,484530010001015,1
Austin,484530010001016,4
Austin,484530010001018,6
Austin,484530010002002,11
Austin,484530010002003,2
Austin,484530010002004,7
Austin,484530010002005,5
Austin,484530010002006,7
Austin,484530010002007,6
Austin,484530010002008,6
Austin,484530010002009,6
Austin,484530010002010,6
Austin,484530010003001,11
Austin,484530010003002,11
Austin,484530010003003,5
Austin,484530010003004,5
Austin,484530010003005,2
Austin,484530010003006,7
Austin,484530010003007,9
Austin,484530010003008,2
Austin,484530010003009,6
Austin,484530010003010,7
Austin,484530010003011,2
Austin,484530010003012,3
